File;TimeStamp;General Channel [V]; General Channel [V];K-Type TC [V]; K-Type TC [degC];K-Type TC 2 [V]; K-Type TC 2 [degC];K-Type TC 3 [V]; K-Type TC 3 [degC];K-Type TC 4 [V]; K-Type TC 4 [degC];K-Type TC 5 [V]; K-Type TC 5 [degC];K-Type TC 6 [V]; K-Type TC 6 [degC];K-Type TC 7 [V]; K-Type TC 7 [degC]
C:\MatchID_Grabber\AdelTayeb\KC4- STC- 0002\Exp03-DIC-IR01\Test01-130V\Image_0000_0.tiff;688.530629;0.00502109557515952;0.00502109557515952;0.00578333278616266;140.421204026518;0.00456024540246996;110.724243917513;0.00576902767056392;140.073871159746;0.00104833952297804;25.4540251249898;0.00577618022836329;140.247537593132;0.00526119606680847;127.74355438934;0.000654948844012549;15.9023712887601
C:\MatchID_Grabber\AdelTayeb\KC4- STC- 0002\Exp03-DIC-IR01\Test01-130V\Image_0001_0.tiff;689.132419;0.0050282481329589;0.0050282481329589;0.00576187511276454;139.90020472636;0.00450302494007498;109.334912450425;0.00571180720816894;138.684539692658;0.00114132277436988;27.7116887590077;0.00589777371095262;143.199866960694;0.00535417931820031;130.001218023358;0.000647796286213177;15.7287048553741
C:\MatchID_Grabber\AdelTayeb\KC4- STC- 0002\Exp03-DIC-IR01\Test01-130V\Image_0002_0.tiff;689.733146;0.00513553649994949;0.00513553649994949;0.00581909557515952;141.289536193448;0.00459600819146682;111.592576084443;0.00570465465036956;138.510873259272;0.000962508829385568;23.3700279243579;0.00584770580635701;141.984201926992;0.00536848443379905;130.34855089013;0.000712169306407529;17.2917027558481
C:\MatchID_Grabber\AdelTayeb\KC4- STC- 0002\Exp03-DIC-IR01\Test01-130V\Image_0003_0.tiff;690.334502;0.0049495699971658;0.0049495699971658;0.00588346859535388;142.852534093922;0.00461031330706556;111.939908951215;0.00571180720816894;138.684539692658;0.00111271254317239;27.0170230254637;0.00581194301736015;141.115869760062;0.00534702676040094;129.827551589972;0.000762237211003137;18.50736778955
C:\MatchID_Grabber\AdelTayeb\KC4- STC- 0002\Exp03-DIC-IR01\Test01-130V\Image_0004_0.tiff;690.936077;0.00516414673114698;0.00516414673114698;0.00579048534396203;140.594870459904;0.00458885563366745;111.418909651057;0.00567604441917207;137.816207525728;0.00105549208077741;25.6276915583758;0.00583340069075827;141.63686906022;0.00538994210719717;130.869550190288;0.00074077953760502;17.986368489392
C:\MatchID_Grabber\AdelTayeb\KC4- STC- 0002\Exp03-DIC-IR01\Test01-130V\Image_0005_0.tiff;691.537014;0.00496387511276454;0.00496387511276454;0.00566173930357333;137.468874658956;0.00454594028687121;110.376911050741;0.0057475699971658;139.552871859588;0.00104118696517867;25.2803586916038;0.00576902767056392;140.073871159746;0.00527550118240721;128.090887256112;0.000726474422006275;17.6390356226201
C:\MatchID_Grabber\AdelTayeb\KC4- STC- 0002\Exp03-DIC-IR01\Test01-130V\Image_0006_0.tiff;692.038775;0.00510692626875199;0.00510692626875199;0.0058262481329589;141.463202626834;0.00452448261347309;109.855911750583;0.00570465465036956;138.510873259272;0.00110555998537302;26.8433565920777;0.00584770580635701;141.984201926992;0.00531126397140407;128.959219423042;0.000747932095404392;18.160034922778
C:\MatchID_Grabber\AdelTayeb\KC4- STC- 0002\Exp03-DIC-IR01\Test01-130V\Image_0007_0.tiff;692.639925;0.00497818022836329;0.00497818022836329;0.00580479045956078;140.942203326676;0.00450302494007498;109.334912450425;0.00564743418797458;137.121541792184;0.00106264463857678;25.8013579917618;0.00594068905774886;144.24186556101;0.00531126397140407;128.959219423042;0.000755084653203765;18.333701356164
C:\MatchID_Grabber\AdelTayeb\KC4- STC- 0002\Exp03-DIC-IR01\Test01-130V\Image_0008_0.tiff;693.240640;0.00492811232376768;0.00492811232376768;0.0058763160375545;142.678867660536;0.00448156726667686;108.813913150267;0.00571180720816894;138.684539692658;0.00107694975417553;26.1486908585338;0.0057475699971658;139.552871859588;0.0053827895493978;130.695883756902;0.000783694884401255;19.028367089708
C:\MatchID_Grabber\AdelTayeb\KC4- STC- 0002\Exp03-DIC-IR01\Test01-130V\Image_0009_0.tiff;693.841377;0.00502109557515952;0.00502109557515952;0.00576187511276454;139.90020472636;0.00454594028687121;110.376911050741;0.00575472255496517;139.726538292974;0.0010054241761818;24.4120265246738;0.00584770580635701;141.984201926992;0.00524689095120972;127.396221522568;0.000654948844012549;15.9023712887601
